date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:47	25246/25246	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Aug%202017%2009:53:53%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html	(from )
18:36:54	1372/1372	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Aug%202016%2023:37:45%20GMT	http://dd.365bootstrap.com/robots.txt		(from )
18:37:12	99961/99961	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202017%2010:00:14%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/css/bootstrap.min.css	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/css/bootstrap.min.css	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:37:18	17780/17780	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202017%2010:06:49%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/font-awesome/css/font-awesome.min.css	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/font-awesome/css/font-awesome.min.css	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:37:24	19847/19847	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202017%2010:00:14%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/css/style.css	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/css/style.css	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:37:30	4895/4895	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202017%2010:00:13%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/css/popuo-box.css	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/css/popuo-box.css	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:37:38	1579/1579	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202017%2010:00:13%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/css/contact-buttons.css	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/css/contact-buttons.css	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:37:51	93100/93100	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2029%20Aug%202017%2010:00:27%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/js/jquery.min.js	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/js/jquery.min.js	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:37:56	1546/1546	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2029%20Aug%202017%2010:00:27%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/js/modernizr.custom.min.js	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/js/modernizr.custom.min.js	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:37:56	45732/45732	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2029%20Aug%202017%2010:00:26%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/js/jquery.magnific-popup.js	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/js/jquery.magnific-popup.js	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:37:58	19097/19097	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Aug%202017%2010:00:22%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/logo.png	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/logo.png	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:38:22	139750/139750	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:17%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/1.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/1.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
